"订单编号","退款编号","支付宝交易号","订单付款时间","商品编码","退款完结时间","买家会员名称","买家实际支付金额","宝贝标题","买家退款金额","手工退款/系统退款","是否需要退货","退款的申请时间","超时时间","退款状态","货物状态","退货物流信息","发货物流信息","客服介入状态","卖家真实姓名","卖家退货地址","卖家邮编","卖家电话","卖家手机","退货物流单号","退货物流公司","买家退款原因","买家退款说明","买家退货时间","责任方","售中或售后","商家备注","完结时间","部分退款/全部退款","审核操作人","举证超时","是否零秒响应","退款操作人"
"223298031119613504","13696780054610435","2018092022001143320586764102","null","544683098636","2018-10-30 17:27:37","tinglovemeng","1760.00","【焕新价】SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7630.00","0","退货退款","2018-10-30 16:40:29","","买家已经申请退款，等待卖家同意","买家已收到货","null","买家已收到货","","西门子家电厨卫旗舰店","","null","null","null","","","7天无理由退换货","","","null","售中退款","null","2018-10-30 17:27:37","null","null","null","null","null"
"223920932627944469","13285764174946944","2018100822001127250598888939","null","560585538125","2018-10-30 17:06:01","真的失重了","900.00","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","130.00","0","仅退款","2018-10-30 15:22:08","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-30 17:06:01","null","null","null","null","null"
"226778149629626287","13287652158628762","2018101422001147580527978922","null","576277364657","2018-10-30 17:04:59","liwei_wei_tao","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-30 16:48:37","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-30 17:04:59","null","null","null","null","null"
"223298031119613504","13725423647610435","2018092022001143320586764102","null","544683098636","2018-10-30 16:38:04","tinglovemeng","1710.00","【焕新价】SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7680.00","0","仅退款","2018-10-30 16:37:57","","退款关闭","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-30 16:38:04","null","null","null","null","null"
"224132966817944469","13269510183946944","2018100822001127250597489649","null","567331101028","2018-10-30 15:22:16","真的失重了","2200.00","SIEMENS/西门子 SJ636X01JC 家用全自动洗碗机全嵌入式13套 除菌","7790.00","0","仅退款","2018-10-30 15:21:34","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-30 15:22:16","null","null","null","null","null"
"250936995708136360","14319361937136063","2018102822001189635410578095","null","565011142206","2018-10-30 13:49:11","闲的蛋疼呐","1500.00","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","5490.00","0","退货退款","2018-10-30 13:49:10","","买家已经申请退款，等待卖家同意","买家已收到货","null","买家已收到货","","西门子家电厨卫旗舰店","","null","null","null","","","7天无理由退换货","","","null","售中退款","null","2018-10-30 13:49:11","null","null","null","null","null"
"226555524184102995","13300487686109529","2018101422001109500526226331","null","576277364657","2018-10-30 13:14:45","dicey1983","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-30 09:33:02","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-30 13:14:45","null","null","null","null","null"
"251424545948242568","14300513712246825","2018102922001128301008326739","null","542214807548","2018-10-30 09:13:23","lijin3331","1400.00","SIEMENS/西门子 SN23E831TI家用全自动洗碗机刷碗机德国原装进口","3990.00","0","仅退款","2018-10-29 20:17:14","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-30 09:13:23","null","null","null","null","null"
"227941668777505291","13254246280509152","2018101722001167895402651724","null","576277364657","2018-10-30 09:11:24","raulmcj","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-29 21:19:58","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","请退100定金，满减未充分提示是哪种?且打着双十一价格，实际比十一还贵。","","null","售中退款","null","2018-10-30 09:11:24","null","null","null","null","null"
"239492908378527110","13666893646521071","2018102922001141351009589226","null","565011142206","2018-10-29 21:35:39","点土成金3868","1300.00","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","5690.00","0","仅退款","2018-10-29 21:34:58","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","仅退款","","null","售中退款","null","2018-10-29 21:35:39","null","null","null","null","null"
"239399661072394101","13679150785390141","2018102922001102285419256882","null","542214807548","2018-10-29 18:07:08","孙思思vivi","1400.00","SIEMENS/西门子 SN23E831TI家用全自动洗碗机刷碗机德国原装进口","3990.00","0","仅退款","2018-10-29 18:06:23","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-29 18:07:08","null","null","null","null","null"
"205630945256108691","13218438287109186","2018082322001197101000430090","null","557798706958","2018-10-29 17:37:03","丰瑶68","1410.00","SIEMENS/西门子 SN555S03JC 进口家用全自动洗碗机嵌入式13套智能","8190.00","0","仅退款","2018-10-28 12:38:13","","退款成功","买家已收到货","null","买家已收到货","","西门子家电厨卫旗舰店","","null","null","null","","","参数与商品描述不符","","","null","售后退款","null","2018-10-29 17:37:03","null","null","null","null","null"
"228762306831617741","14254369155614177","2018092822001176240538547228","null","565880316222","2018-10-29 17:06:38","tb013414_66","4000.00","SIEMENS/西门子 CP565AGS0W嵌入式微蒸烤一体 家用多功能烤箱蒸箱","8990.00","0","退货退款","2018-10-28 12:16:36","","退款关闭","买家已收到货","null","买家已收到货","","西门子家电厨卫旗舰店","","null","null","null","","","性能故障","机器故障","","null","售后退款","null","2018-10-29 17:06:38","null","null","null","null","null"
"75969598426402412","13681166184401224","2017102921001001840280789322","null","560694797180","2018-10-29 17:04:57","wcm123332211","398.99","测试商品111","0.01","0","仅退款","2018-10-29 17:04:55","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","不喜欢/不想要","","","null","售中退款","null","2018-10-29 17:04:57","null","null","null","null","null"
"240550752187889445","14338656151884594","2018101422001166180551105358","null","576277364657","2018-10-29 16:35:44","yqhqwsh","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-29 16:32:11","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-29 16:35:44","null","null","null","null","null"
"229310437990213675","13235973696217536","2018101922001171651005905551","null","576277364657","2018-10-29 15:45:00","elimeini","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-29 15:44:53","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-29 15:45:00","null","null","null","null","null"
"251075296739213736","14289153160213637","2018102922001137785408864351","null","544901705464","2018-10-29 13:36:54","宋禹莹","850.00","SIEMENS/西门子 953+23EMP大吸力吸油烟机大尺寸燃气烟灶套餐","5280.00","0","仅退款","2018-10-29 13:36:09","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-29 13:36:54","null","null","null","null","null"
"235858604905721910","13652653639721019","2018102022001284185402669831","null","567843853082","2018-10-29 11:15:22","joyce昭昭","14280.00","SIEMENS/西门子 565+636 微蒸烤一体机/全嵌式13套洗碗机烤箱套餐","100.00","0","仅退款","2018-10-29 10:46:34","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-29 11:15:22","null","null","null","null","null"
"236278927580721910","13672334313721019","2018101922001184185403583857","null","576277364657","2018-10-29 10:58:26","joyce昭昭","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-29 10:58:19","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-29 10:58:26","null","null","null","null","null"
"251086529805641865","14321024792646518","2018102922001157585403021276","null","542191113108","2018-10-29 10:15:31","lieluck","60.00","SIEMENS/西门子 LC43921TI超薄欧式抽油烟机顶吸式吸油烟机大吸力","2830.00","0","仅退款","2018-10-29 10:14:53","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","拍错型号","","null","售中退款","null","2018-10-29 10:15:31","null","null","null","null","null"
"235724204488296125","13670542012292561","2018101922001132315403290650","null","576277364657","2018-10-29 08:14:22","solonight12","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-29 08:13:44","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-29 08:14:22","null","null","null","null","null"
"244571874354302360","14276514278306023","2018102022001128565403853029","null","576277364657","2018-10-28 17:47:19","xinzhongyue87","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-28 17:46:34","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-28 17:47:19","null","null","null","null","null"
"226363204312496998","13202629751499869","2018101322001124520582492077","null","576277364657","2018-10-28 14:01:56","y4984","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-28 09:45:35","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-28 14:01:56","null","null","null","null","null"
"242097505879432337","14291200154433723","2018101622001116435405298921","null","576277364657","2018-10-28 14:01:51","tb5119697_2012","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-28 10:01:21","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-28 14:01:51","null","null","null","null","null"
"250535809189780038","14293792212783800","2018102822001154235423321827","null","579410335927","2018-10-28 11:34:46","邵一男","98.99","【会员专享】钢化玻璃碗—限会员积分兑换，单拍无效","0.01","0","仅退款","2018-10-28 11:34:44","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","不喜欢/不想要","","","null","售中退款","null","2018-10-28 11:34:46","null","null","null","null","null"
"223526951169835192","13251079391839251","2018100622001124150513311830","null","560585538125","2018-10-28 09:23:04","就爱吃萝卜的兔子","900.00","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","130.00","0","仅退款","2018-10-27 23:14:11","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-28 09:23:04","null","null","null","null","null"
"204663647151817712","13638670524811277","2018081721001001340571609017","null","549136972152","2018-10-28 09:22:12","又未完待续","0.00","购9.9特权 享指定型号特权豪礼（具体请查看商品详情）","9.90","0","仅退款","2018-10-27 18:04:58","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-28 09:22:12","null","null","null","null","null"
"235923373730662621","13645132456662126","2018101922001166535402549581","null","576277364657","2018-10-28 08:27:18","pengpengwudi23","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-28 08:26:37","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-28 08:27:18","null","null","null","null","null"
"244339904507782340","14243969378784023","2018101922001122475404816582","null","576277364657","2018-10-27 23:20:44","美妞妞_ding","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-27 23:19:58","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-27 23:20:44","null","null","null","null","null"
"223162917069835192","13222020910839251","2018100622001124150512553374","null","567331101028","2018-10-27 23:08:06","就爱吃萝卜的兔子","2400.00","【狂欢价】SIEMENS/西门子 SJ636X01JC 家用全自动洗碗机全嵌入式13套 除菌","7590.00","0","仅退款","2018-10-27 23:07:26","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-27 23:08:06","null","null","null","null","null"
"235849324265899011","13669135085891190","2018101922001118735403081991","null","576277364657","2018-10-27 19:35:20","vinivini1225","0.00","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","0","仅退款","2018-10-27 19:34:43","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-27 19:35:20","null","null","null","null","null"
"201301725907654648","14222305862654846","2018081521001001200548127365","null","560585538125","2018-10-27 14:28:09","lim80li","900.00","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","399.00","0","仅退款","2018-10-27 13:38:35","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-27 14:28:09","null","null","null","null","null"
"238533228822357912","13656271724351279","2018102722001260485411309239","null","568649977903","2018-10-27 10:31:23","妖小孽grace","5280.00","SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","100.00","0","仅退款","2018-10-27 10:31:20","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-27 10:31:23","null","null","null","null","null"
"238382606264357912","13625452745351279","2018102522001260485410295596","null","568649977903","2018-10-27 10:31:10","妖小孽grace","5280.00","SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","100.00","0","仅退款","2018-10-27 10:31:07","","退款成功","买家未收到货","null","买家未收到货","","西门子家电厨卫旗舰店","","null","null","null","","","多拍/拍错/不想要","","","null","售中退款","null","2018-10-27 10:31:10","null","null","null","null","null"
